audio_path,emotion
dataset/angry\03_07_ang.wav,angry
dataset/fear\13_16_fea.wav,fear
dataset/happy\11_10_hap.wav,happy
dataset/sad\12_19_sad.wav,sad
dataset/angry\20_15_ang.wav,angry
dataset/happy\19_17_hap.wav,happy
dataset/sad\04_08_sad.wav,sad
dataset/neutral\20_17_neu.wav,neutral
dataset/sad\15_18_sad.wav,sad
dataset/happy\15_15_hap.wav,happy
dataset/angry\15_14_ang.wav,angry
dataset/fear\16_16_fea.wav,fear
dataset/neutral\21_10_neu.wav,neutral
dataset/sad\03_08_sad.wav,sad
dataset/sad\06_01_sad.wav,sad
dataset/fear\11_15_fea.wav,fear
dataset/happy\01_09_hap.wav,happy
dataset/happy\04_04_hap.wav,happy
dataset/happy\11_14_hap.wav,happy
dataset/happy\10_08_hap.wav,happy
dataset/happy\20_13_hap.wav,happy
dataset/neutral\17_10_neu.wav,neutral
dataset/happy\22_18_hap.wav,happy
dataset/happy\15_11_hap.wav,happy
dataset/neutral\13_19_neu.wav,neutral
dataset/angry\18_12_ang.wav,angry
dataset/neutral\14_15_neu.wav,neutral
dataset/happy\02_04_hap.wav,happy
dataset/neutral\14_17_neu.wav,neutral
dataset/angry\02_08_ang.wav,angry
dataset/angry\02_01_ang.wav,angry
dataset/neutral\16_13_neu.wav,neutral
dataset/neutral\18_15_neu.wav,neutral
dataset/neutral\05_07_neu.wav,neutral
dataset/neutral\08_05_neu.wav,neutral
dataset/sad\20_16_sad.wav,sad
dataset/happy\21_11_hap.wav,happy
dataset/neutral\18_13_neu.wav,neutral
dataset/neutral\21_15_neu.wav,neutral
dataset/sad\16_13_sad.wav,sad
dataset/happy\12_10_hap.wav,happy
dataset/neutral\01_05_neu.wav,neutral
dataset/happy\01_02_hap.wav,happy
dataset/neutral\19_11_neu.wav,neutral
dataset/sad\11_18_sad.wav,sad
dataset/happy\17_19_hap.wav,happy
dataset/angry\17_15_ang.wav,angry
dataset/fear\15_19_fea.wav,fear
dataset/fear\20_11_fea.wav,fear
dataset/sad\21_19_sad.wav,sad
dataset/fear\21_17_fea.wav,fear
dataset/sad\08_08_sad.wav,sad
dataset/happy\02_01_hap.wav,happy
dataset/angry\11_17_ang.wav,angry
dataset/fear\19_12_fea.wav,fear
dataset/fear\11_19_fea.wav,fear
dataset/happy\12_16_hap.wav,happy
dataset/neutral\02_07_neu.wav,neutral
dataset/neutral\11_13_neu.wav,neutral
dataset/fear\19_13_fea.wav,fear
dataset/happy\08_01_hap.wav,happy
dataset/angry\01_06_ang.wav,angry
dataset/neutral\05_02_neu.wav,neutral
dataset/fear\14_18_fea.wav,fear
dataset/angry\01_01_ang.wav,angry
dataset/sad\02_02_sad.wav,sad
dataset/sad\21_11_sad.wav,sad
dataset/fear\20_18_fea.wav,fear
dataset/sad\16_10_sad.wav,sad
dataset/angry\12_12_ang.wav,angry
dataset/happy\06_07_hap.wav,happy
dataset/neutral\22_12_neu.wav,neutral
dataset/happy\07_03_hap.wav,happy
dataset/happy\16_16_hap.wav,happy
dataset/neutral\11_12_neu.wav,neutral
dataset/happy\17_11_hap.wav,happy
dataset/sad\09_01_sad.wav,sad
dataset/neutral\22_14_neu.wav,neutral
dataset/fear\21_10_fea.wav,fear
dataset/sad\17_15_sad.wav,sad
dataset/happy\16_14_hap.wav,happy
dataset/neutral\10_07_neu.wav,neutral
dataset/fear\18_16_fea.wav,fear
dataset/angry\20_17_ang.wav,angry
dataset/angry\19_11_ang.wav,angry
dataset/neutral\01_07_neu.wav,neutral
dataset/sad\14_12_sad.wav,sad
dataset/fear\21_12_fea.wav,fear
dataset/sad\15_15_sad.wav,sad
dataset/neutral\14_14_neu.wav,neutral
dataset/sad\02_08_sad.wav,sad
dataset/happy\15_17_hap.wav,happy
dataset/happy\04_05_hap.wav,happy
dataset/sad\03_01_sad.wav,sad
dataset/happy\17_14_hap.wav,happy
dataset/angry\03_01_ang.wav,angry
dataset/neutral\06_07_neu.wav,neutral
dataset/angry\09_07_ang.wav,angry
dataset/angry\15_12_ang.wav,angry
dataset/happy\15_12_hap.wav,happy
dataset/neutral\09_08_neu.wav,neutral
dataset/happy\21_16_hap.wav,happy
dataset/fear\19_18_fea.wav,fear
dataset/happy\03_04_hap.wav,happy
dataset/fear\15_11_fea.wav,fear
dataset/sad\17_19_sad.wav,sad
dataset/neutral\16_16_neu.wav,neutral
dataset/happy\16_15_hap.wav,happy
dataset/happy\03_01_hap.wav,happy
dataset/sad\06_03_sad.wav,sad
dataset/angry\01_03_ang.wav,angry
dataset/angry\04_03_ang.wav,angry
dataset/angry\15_18_ang.wav,angry
dataset/happy\19_11_hap.wav,happy
dataset/happy\02_02_hap.wav,happy
dataset/fear\17_16_fea.wav,fear
dataset/happy\07_08_hap.wav,happy
dataset/neutral\21_19_neu.wav,neutral
dataset/sad\18_16_sad.wav,sad
dataset/sad\19_17_sad.wav,sad
dataset/happy\21_19_hap.wav,happy
dataset/happy\08_05_hap.wav,happy
dataset/happy\10_01_hap.wav,happy
dataset/happy\14_19_hap.wav,happy
dataset/sad\10_08_sad.wav,sad
dataset/angry\18_19_ang.wav,angry
dataset/angry\17_19_ang.wav,angry
dataset/neutral\06_05_neu.wav,neutral
dataset/angry\09_04_ang.wav,angry
dataset/angry\17_13_ang.wav,angry
dataset/sad\14_18_sad.wav,sad
dataset/neutral\11_14_neu.wav,neutral
dataset/neutral\19_18_neu.wav,neutral
dataset/happy\17_10_hap.wav,happy
dataset/sad\17_16_sad.wav,sad
dataset/sad\21_16_sad.wav,sad
dataset/neutral\16_14_neu.wav,neutral
dataset/happy\12_13_hap.wav,happy
dataset/sad\03_03_sad.wav,sad
dataset/fear\12_19_fea.wav,fear
dataset/angry\03_08_ang.wav,angry
dataset/sad\02_09_sad.wav,sad
dataset/angry\12_19_ang.wav,angry
dataset/neutral\02_01_neu.wav,neutral
dataset/angry\06_02_ang.wav,angry
dataset/neutral\19_13_neu.wav,neutral
dataset/happy\08_02_hap.wav,happy
dataset/angry\06_07_ang.wav,angry
dataset/fear\11_18_fea.wav,fear
dataset/angry\09_02_ang.wav,angry
dataset/happy\09_02_hap.wav,happy
dataset/sad\18_13_sad.wav,sad
dataset/angry\21_18_ang.wav,angry
dataset/happy\19_10_hap.wav,happy
dataset/happy\16_12_hap.wav,happy
dataset/neutral\19_10_neu.wav,neutral
dataset/angry\04_09_ang.wav,angry
dataset/happy\01_05_hap.wav,happy
dataset/sad\16_19_sad.wav,sad
dataset/angry\02_09_ang.wav,angry
dataset/fear\11_12_fea.wav,fear
dataset/angry\21_13_ang.wav,angry
dataset/sad\07_09_sad.wav,sad
dataset/happy\14_13_hap.wav,happy
dataset/happy\22_13_hap.wav,happy
dataset/happy\02_07_hap.wav,happy
dataset/sad\17_17_sad.wav,sad
dataset/neutral\17_15_neu.wav,neutral
dataset/happy\04_09_hap.wav,happy
dataset/neutral\11_10_neu.wav,neutral
dataset/sad\10_06_sad.wav,sad
dataset/angry\06_05_ang.wav,angry
dataset/angry\08_06_ang.wav,angry
dataset/neutral\14_11_neu.wav,neutral
dataset/happy\09_06_hap.wav,happy
dataset/fear\14_12_fea.wav,fear
dataset/sad\13_16_sad.wav,sad
dataset/sad\03_02_sad.wav,sad
dataset/neutral\05_04_neu.wav,neutral
dataset/neutral\13_16_neu.wav,neutral
dataset/happy\13_19_hap.wav,happy
dataset/sad\03_06_sad.wav,sad
dataset/sad\01_09_sad.wav,sad
dataset/angry\11_16_ang.wav,angry
dataset/sad\02_05_sad.wav,sad
dataset/angry\11_10_ang.wav,angry
dataset/sad\13_14_sad.wav,sad
dataset/sad\09_09_sad.wav,sad
dataset/angry\13_15_ang.wav,angry
dataset/sad\05_02_sad.wav,sad
dataset/sad\15_17_sad.wav,sad
dataset/fear\21_15_fea.wav,fear
dataset/happy\18_12_hap.wav,happy
dataset/neutral\08_01_neu.wav,neutral
dataset/angry\05_05_ang.wav,angry
dataset/angry\13_16_ang.wav,angry
dataset/happy\13_15_hap.wav,happy
dataset/happy\17_13_hap.wav,happy
dataset/angry\19_14_ang.wav,angry
dataset/neutral\18_12_neu.wav,neutral
dataset/sad\03_09_sad.wav,sad
dataset/angry\12_11_ang.wav,angry
dataset/happy\09_09_hap.wav,happy
dataset/angry\20_14_ang.wav,angry
dataset/neutral\12_17_neu.wav,neutral
dataset/angry\16_12_ang.wav,angry
dataset/happy\17_12_hap.wav,happy
dataset/happy\05_03_hap.wav,happy
dataset/angry\10_01_ang.wav,angry
dataset/angry\02_05_ang.wav,angry
dataset/sad\10_07_sad.wav,sad
dataset/angry\05_04_ang.wav,angry
dataset/sad\20_11_sad.wav,sad
dataset/angry\18_14_ang.wav,angry
dataset/neutral\11_15_neu.wav,neutral
dataset/sad\21_17_sad.wav,sad
dataset/happy\15_10_hap.wav,happy
dataset/sad\11_16_sad.wav,sad
dataset/neutral\01_02_neu.wav,neutral
dataset/sad\04_09_sad.wav,sad
dataset/angry\02_07_ang.wav,angry
dataset/neutral\03_09_neu.wav,neutral
dataset/sad\14_11_sad.wav,sad
dataset/angry\18_16_ang.wav,angry
dataset/angry\08_04_ang.wav,angry
dataset/sad\04_02_sad.wav,sad
dataset/fear\20_17_fea.wav,fear
dataset/happy\14_16_hap.wav,happy
dataset/neutral\07_02_neu.wav,neutral
dataset/sad\18_17_sad.wav,sad
dataset/neutral\22_15_neu.wav,neutral
dataset/sad\19_18_sad.wav,sad
dataset/fear\15_15_fea.wav,fear
dataset/angry\15_13_ang.wav,angry
dataset/angry\19_18_ang.wav,angry
dataset/angry\05_07_ang.wav,angry
dataset/happy\18_15_hap.wav,happy
dataset/neutral\19_15_neu.wav,neutral
dataset/angry\05_06_ang.wav,angry
dataset/sad\18_14_sad.wav,sad
dataset/angry\11_14_ang.wav,angry
dataset/sad\01_07_sad.wav,sad
dataset/happy\08_07_hap.wav,happy
dataset/sad\19_11_sad.wav,sad
dataset/fear\19_11_fea.wav,fear
dataset/fear\19_10_fea.wav,fear
dataset/fear\13_19_fea.wav,fear
dataset/angry\14_18_ang.wav,angry
dataset/angry\19_19_ang.wav,angry
dataset/sad\04_03_sad.wav,sad
dataset/sad\16_11_sad.wav,sad
dataset/sad\12_16_sad.wav,sad
dataset/fear\12_13_fea.wav,fear
dataset/happy\01_01_hap.wav,happy
dataset/happy\19_13_hap.wav,happy
dataset/neutral\01_08_neu.wav,neutral
dataset/sad\12_14_sad.wav,sad
dataset/neutral\21_11_neu.wav,neutral
dataset/angry\12_16_ang.wav,angry
dataset/sad\17_12_sad.wav,sad
dataset/neutral\18_19_neu.wav,neutral
dataset/angry\07_03_ang.wav,angry
dataset/neutral\10_02_neu.wav,neutral
dataset/angry\20_12_ang.wav,angry
dataset/happy\05_06_hap.wav,happy
dataset/happy\12_19_hap.wav,happy
dataset/happy\07_06_hap.wav,happy
dataset/neutral\18_10_neu.wav,neutral
dataset/neutral\03_04_neu.wav,neutral
dataset/happy\09_07_hap.wav,happy
dataset/angry\04_04_ang.wav,angry
dataset/happy\08_09_hap.wav,happy
dataset/happy\20_19_hap.wav,happy
dataset/angry\11_15_ang.wav,angry
dataset/neutral\14_18_neu.wav,neutral
dataset/happy\10_07_hap.wav,happy
dataset/fear\21_19_fea.wav,fear
dataset/sad\11_19_sad.wav,sad
dataset/angry\07_07_ang.wav,angry
dataset/angry\13_18_ang.wav,angry
dataset/neutral\12_12_neu.wav,neutral
dataset/angry\11_12_ang.wav,angry
dataset/sad\18_11_sad.wav,sad
dataset/neutral\20_15_neu.wav,neutral
dataset/neutral\22_16_neu.wav,neutral
dataset/angry\06_01_ang.wav,angry
dataset/angry\02_03_ang.wav,angry
dataset/neutral\13_18_neu.wav,neutral
dataset/angry\11_11_ang.wav,angry
